	  m1diff  sigmas  b1diff  sigmas  m2diff  sigmas  b2diff  sigmas 
Full:	  0.0004  0.0382  0.0003  1.4533 -0.0022 -0.2608 -0.0005 -2.1926 
0330:	  0.0038  0.3872 -0.0003 -1.1219 -0.0048 -0.5575  0.0004  1.6602 
0440:	  0.0004  0.0382  0.0003  1.4533 -0.0022 -0.2608 -0.0005 -2.1926 
0550:	  0.0010  0.0982  0.0000  0.1076 -0.0015 -0.1784 -0.0003 -1.2746 

1221:	  0.0077  0.7915 -0.0000 -0.1590 -0.0077 -0.8944 -0.0001 -0.4388 
1331:	  0.0049  0.5013 -0.0007 -2.8448 -0.0047 -0.5534  0.0007  2.8550 
1441:	  0.0013  0.1303  0.0001  0.4668 -0.0020 -0.2282 -0.0000 -0.0628 
1551:	  0.0009  0.0942  0.0000  0.0970 -0.0017 -0.1954 -0.0002 -0.9167 

2222:	  0.0073  0.7484  0.0005  1.9614 -0.0077 -0.8990 -0.0004 -1.7788 
2332:	  0.0046  0.4727 -0.0001 -0.2355 -0.0051 -0.5953  0.0002  0.9511 
2442:	  0.0010  0.1047  0.0000  0.1875 -0.0018 -0.2080  0.0001  0.5331 
2552:	  0.0008  0.0786 -0.0000 -0.1917 -0.0011 -0.1288 -0.0001 -0.4570 

3223:	  0.0076  0.7807 -0.0006 -2.4710 -0.0078 -0.9141 -0.0002 -0.8352 
3333:	  0.0053  0.5380  0.0002  0.7282 -0.0050 -0.5867 -0.0000 -0.0741 
3443:	  0.0006  0.0656  0.0002  0.8126 -0.0018 -0.2075 -0.0002 -0.7979 
3553:	  0.0001  0.0114  0.0000  0.0238 -0.0014 -0.1600 -0.0001 -0.3764 

Control value = 3773, errors: m1 0.0031 b1 0.0001 m2 0.0028 b2 0.0001 
